ホテルID,ホテル名,部屋番号,表示順,CTI連携キー,鍵開けURL,鍵開けCH番号
000000306,ホテル１．１０．１,52,31,3635152,,
000000306,ホテル１．１０．１,53,32,3635153,,
000000306,ホテル１．１０．１,54,33,3635154,,
000000306,ホテル１．１０．１,55,34,3635155,,
000000306,ホテル１．１０．１,56,35,3635156,,
000000306,ホテル１．１０．１,60,36,3635160,,
000000306,ホテル１．１０．１,61,37,3635161,,
000000306,ホテル１．１０．１,62,38,3635162,,
000000306,ホテル１．１０．１,63,39,3635163,,
000000306,ホテル１．１０．１,64,40,3635164,,
000000306,ホテル１．１０．１,Bar counter 1,41,3635165,,
000000306,ホテル１．１０．１,Bar counter 2,42,3635166,,
000000306,ホテル１．１０．１,Bar counter 3,43,3635167,,
000000306,ホテル１．１０．１,Bar counter 4,44,3635168,,
000000306,ホテル１．１０．１,Bar table 1,45,3635169,,
000000306,ホテル１．１０．１,Bar table 2,46,3635170,,
000000307,ヴィラジュリア道玄坂,101,1,3685101,,16
000000307,ヴィラジュリア道玄坂,102,2,3685102,http://192.168.40.121/control.cgi?param=${CH}-ON,001
000000307,ヴィラジュリア道玄坂,103,3,3685103,http://192.168.40.121/control.cgi?param=${CH}-ON,002
000000307,ヴィラジュリア道玄坂,201,4,3685201,,01
000000307,ヴィラジュリア道玄坂,202,5,3685202,,02
000000307,ヴィラジュリア道玄坂,203,6,3685203,,03
000000307,ヴィラジュリア道玄坂,205,7,3685205,,04
000000307,ヴィラジュリア道玄坂,301,8,3685301,,05
000000307,ヴィラジュリア道玄坂,302,9,3685302,,06
000000307,ヴィラジュリア道玄坂,303,10,3685303,,07
000000307,ヴィラジュリア道玄坂,401,11,3685401,,08
000000307,ヴィラジュリア道玄坂,402,12,3685402,,09
000000307,ヴィラジュリア道玄坂,403,13,3685403,,10
000000307,ヴィラジュリア道玄坂,405,14,3685405,,11
000000307,ヴィラジュリア道玄坂,406,15,3685406,,12
000000307,ヴィラジュリア道玄坂,501,16,3685501,,13
000000307,ヴィラジュリア道玄坂,502,17,3685502,,14
000000307,ヴィラジュリア道玄坂,503,18,3685503,,15
000000308,サンシルク,201,1,5775201,,
000000308,サンシルク,202,2,5775202,,
000000308,サンシルク,203,3,5775203,,
000000308,サンシルク,204,4,5775204,,
000000308,サンシルク,205,5,5775205,,
000000308,サンシルク,206,6,5775206,,
000000308,サンシルク,207,7,5775207,,
000000308,サンシルク,208,8,5775208,,
000000308,サンシルク,209,9,5775209,,
000000308,サンシルク,210,10,5775210,,
000000308,サンシルク,211,11,5775211,,
000000308,サンシルク,212,12,5775212,,
000000308,サンシルク,213,13,5775213,,
000000308,サンシルク,214,14,5775214,,
000000308,サンシルク,215,15,5775215,,
000000308,サンシルク,216,16,5775216,,
000000308,サンシルク,217,17,5775217,,
000000308,サンシルク,218,18,5775218,,
000000308,サンシルク,219,19,5775219,,
000000308,サンシルク,220,20,5775220,,
000000308,サンシルク,221,21,5775221,,
000000308,サンシルク,222,22,5775222,,
000000308,サンシルク,223,23,5775223,,
000000308,サンシルク,224,24,5775224,,
000000308,サンシルク,225,25,5775225,,
000000309,HOTEL?AQUA?Blue?横須賀,201　スイート,1,3675201,,
000000309,HOTEL?AQUA?Blue?横須賀,202　デラックス,2,3675202,,
000000309,HOTEL?AQUA?Blue?横須賀,301　エコノミー,3,3675301,,
000000309,HOTEL?AQUA?Blue?横須賀,302　スタンダード,4,3675302,,
000000309,HOTEL?AQUA?Blue?横須賀,303　スタンダード,5,3675303,,
000000309,HOTEL?AQUA?Blue?横須賀,304　スタンダード,6,3675304,,
000000309,HOTEL?AQUA?Blue?横須賀,305　モデレート,7,3675305,,
000000309,HOTEL?AQUA?Blue?横須賀,306　モデレート,8,3675306,,
000000309,HOTEL?AQUA?Blue?横須賀,307　スタンダード,9,3675307,,
000000309,HOTEL?AQUA?Blue?横須賀,308　スタンダード,10,3675308,,
000000309,HOTEL?AQUA?Blue?横須賀,309　エコノミー,11,3675309,,
000000309,HOTEL?AQUA?Blue?横須賀,401　エコノミー,12,3675401,,
000000309,HOTEL?AQUA?Blue?横須賀,402　スタンダード,13,3675402,,
000000309,HOTEL?AQUA?Blue?横須賀,403　スタンダード,14,3675403,,
000000309,HOTEL?AQUA?Blue?横須賀,404　スイート,15,3675404,,
000000309,HOTEL?AQUA?Blue?横須賀,405　モデレート,16,3675405,,
000000309,HOTEL?AQUA?Blue?横須賀,406　スタンダード,17,3675406,,
000000309,HOTEL?AQUA?Blue?横須賀,407　スイート,18,3675407,,
000000309,HOTEL?AQUA?Blue?横須賀,501　ラグジュアリー,19,3675501,,
000000309,HOTEL?AQUA?Blue?横須賀,502　ラグジュアリー,20,3675502,,
000000309,HOTEL?AQUA?Blue?横須賀,503　デラックス,21,3675503,,
000000309,HOTEL?AQUA?Blue?横須賀,504　デラックス,22,3675504,,
000000309,HOTEL?AQUA?Blue?横須賀,505　デラックス,23,3675505,,
000000310,フェスタ横須賀,201,1,3655201,,
000000310,フェスタ横須賀,202,2,3655202,,
000000310,フェスタ横須賀,203,3,3655203,,
000000310,フェスタ横須賀,205,4,3655205,,
000000310,フェスタ横須賀,206,5,3655206,,
000000310,フェスタ横須賀,207,6,3655207,,
000000310,フェスタ横須賀,208,7,3655208,,
000000310,フェスタ横須賀,210,8,3655210,,
000000310,フェスタ横須賀,211,9,3655211,,
000000310,フェスタ横須賀,212,10,3655212,,
000000310,フェスタ横須賀,213,11,3655213,,
000000310,フェスタ横須賀,215,12,3655215,,
000000310,フェスタ横須賀,216,13,3655216,,
000000310,フェスタ横須賀,301,14,3655301,,
000000310,フェスタ横須賀,302,15,3655302,,
000000310,フェスタ横須賀,303,16,3655303,,
000000310,フェスタ横須賀,305,17,3655305,,
000000310,フェスタ横須賀,306,18,3655306,,
000000310,フェスタ横須賀,307,19,3655307,,
000000310,フェスタ横須賀,308,20,3655308,,
000000310,フェスタ横須賀,310,21,3655310,,
000000310,フェスタ横須賀,311,22,3655311,,
000000310,フェスタ横須賀,401,23,3655401,,
000000310,フェスタ横須賀,402,24,3655402,,
000000310,フェスタ横須賀,403,25,3655403,,
000000310,フェスタ横須賀,405,26,3655405,,
000000310,フェスタ横須賀,406,27,3655406,,
000000310,フェスタ横須賀,407,28,3655407,,
000000310,フェスタ横須賀,408,29,3655408,,
000000310,フェスタ横須賀,410,30,3655410,,
000000310,フェスタ横須賀,411,31,3655411,,
000000311,フェスタ葉山,201,1,3665201,,
000000311,フェスタ葉山,202,2,3665202,,
000000311,フェスタ葉山,203,3,3665203,,
000000311,フェスタ葉山,205,4,3665205,,
000000311,フェスタ葉山,206,5,3665206,,
000000311,フェスタ葉山,207,6,3665207,,
000000311,フェスタ葉山,208,7,3665208,,
000000311,フェスタ葉山,210,8,3665210,,
000000311,フェスタ葉山,211,9,3665211,,
000000311,フェスタ葉山,212,10,3665212,,
000000311,フェスタ葉山,301,11,3665301,,
000000311,フェスタ葉山,302,12,3665302,,
000000311,フェスタ葉山,303,13,3665303,,
000000311,フェスタ葉山,305,14,3665305,,
000000311,フェスタ葉山,306,15,3665306,,
000000311,フェスタ葉山,307,16,3665307,,
000000311,フェスタ葉山,308,17,3665308,,
000000311,フェスタ葉山,310,18,3665310,,
000000311,フェスタ葉山,311,19,3665311,,
000000311,フェスタ葉山,312,20,3665312,,
000000311,フェスタ葉山,313,21,3665313,,
000000312,Hotel?STAY?FOREST?土浦,201　B エコノミー,1,3585201,,
000000312,Hotel?STAY?FOREST?土浦,202　A エコノミー,2,3585202,,
000000312,Hotel?STAY?FOREST?土浦,203　C スタンダード,3,3585203,,
000000312,Hotel?STAY?FOREST?土浦,205　D デラックス,4,3585205,,
000000312,Hotel?STAY?FOREST?土浦,206　D デラックス,5,3585206,,
000000312,Hotel?STAY?FOREST?土浦,207　C スタンダード,6,3585207,,
000000312,Hotel?STAY?FOREST?土浦,208　B エコノミー,7,3585208,,
000000312,Hotel?STAY?FOREST?土浦,210　B エコノミー,8,3585210,,
000000312,Hotel?STAY?FOREST?土浦,301　B エコノミー,9,3585301,,
000000312,Hotel?STAY?FOREST?土浦,302　A エコノミー,10,3585302,,
